Pelvis Tilt mean;Pelvis Tilt SD;Pelvis Obliquity mean;pelvis Obliquity SD;Pelvis Rotation Mean;Pelvis Rotation SD;Hip Sagittal mean;Hip Sagittal SD;Hip Frontal mean;Hip Frontal SD;Hip Longitudinal mean;Hip Longitudinal SD;Knee Sagittal mean;Knee Sagittal SD;Knee Frontal mean;Knee Frontal SD;Knee Longitudinal mean;Knee Longitudinal SD;Ankle Sagittal mean;Ankle Sagittal SD;Ankle Frontal mean;Ankle Frontal SD;Ankle Longitudinal mean;Ankle Longitudinal SD
16,378;5,361;-1,052;2,126;-3,02;3,968;-2,362;6,444;3,381;2,973;10,183;8,835;3,638;5,503;-1,714;3,511;4,988;9,22;12,332;5,229;-21,224;13,758;-5,694;7,247
16,31609251;5,362836023;-1,106078616;2,1243237;-3,272089097;4,014176436;-3,032368376;6,413851951;3,203936176;2,987082865;10,17783149;8,882848843;4,197769533;5,529403269;-1,66752327;3,546484597;5,186223772;9,234077824;12,3272292;5,294892408;-21,0979714;13,77600881;-5,559305827;7,247214151
16,251;5,36;-1,178;2,124;-3,493;4,052;-3,646;6,387;2,993;3,007;10,194;8,945;4,881;5,578;-1,608;3,59;5,431;9,233;12,233;5,388;-21,027;13,796;-5,363;7,247
16,18573513;5,353692835;-1,270179948;2,125789567;-3,676119454;4,076061961;-4,189118148;6,364946799;2,745352985;3,032525513;10,23459601;9,034984786;5,694586284;5,655786196;-1,53099534;3,641386777;5,706260917;9,214498971;12,02104153;5,522611328;-21,00104239;13,8150365;-5,105936427;7,247545164
16,117;5,345;-1,384;2,131;-3,817;4,088;-4,657;6,346;2,459;3,063;10,295;9,147;6,642;5,765;-1,432;3,71;5,982;9,188;11,663;5,703;-20,992;13,834;-4,791;7,25
16,04071698;5,335267636;-1,521326591;2,141018031;-3,911683086;4,090200719;-5,045659031;6,329110853;2,131401882;3,097690083;10,37365947;9,271837013;7,726885329;5,906826946;-1,303745369;3,806218296;6,233357559;9,16505129;11,12935467;5,93116228;-20,98010905;13,85534517;-4,421448467;7,255355195
15,956;5,327;-1,687;2,157;-3,956;4,081;-5,345;6,319;1,757;3,136;10,489;9,406;8,957;6,083;-1,128;3,935;6,47;9,154;10,386;6,21;-20,997;13,884;-4;7,264
15,86227196;5,322236621;-1,885388688;2,179638309;-3,947773201;4,059010161;-5,542370728;6,321359788;1,332164487;3,177214155;10,66101612;9,549667162;10,3423724;6,29428102;-0,885648184;4,100365038;6,708933847;9,159295869;9,400789787;6,537864553;-21,0790214;13,92358281;-3,530144706;7,276284058
15,757;5,32;-2,116;2,208;-3,893;4,028;-5,621;6,34;0,864;3,22;10,896;9,712;11,898;6,537;-0,565;4,308;6,962;9,173;8,154;6,894;-21,23;13,97;-3,019;7,293
15,63869517;5,318660881;-2,375993659;2,241053732;-3,80022411;3,992883637;-5,562108058;6,377574994;0,358815171;3,262703298;11,19877604;9,898994338;13,63725007;6,803923974;-0,152286896;4,562446553;7,240157052;9,186390234;6,633611183;7,251129509;-21,44755536;14,01482358;-2,474847708;7,314758575
15,512;5,317;-2,658;2,279;-3,68;3,958;-5,343;6,434;-0,191;3,303;11,582;10,095;15,562;7,078;0,382;4,862;7,556;9,2;4,846;7,575;-21,737;14,04;-1,907;7,341
15,38269735;5,314244855;-2,953136677;2,321771761;-3,543830359;3,926455293;-4,942572041;6,507215235;-0,789425172;3,337722654;12,05562973;10,28485549;17,67125232;7,343023083;1,062420766;5,20347375;7,927562944;9,216518196;2,81539048;7,83074241;-22,10613215;14,03124785;-1,32808946;7,369431642
15,255;5,311;-3,251;2,367;-3,405;3,897;-4,35;6,59;-1,412;3,361;12,611;10,477;19,964;7,596;1,878;5,584;8,393;9,238;0,619;7,988;-22,565;13,999;-0,763;7,392
15,13351544;5,307734697;-3,541209633;2,411734224;-3,276954452;3,867920192;-3,557728779;6,675564065;-2,030489482;3,367531088;13,23170506;10,67920871;22,43574064;7,834733693;2,807228831;5,998658448;8,993591171;9,266036981;-1,650298105;8,02677585;-23,12391605;13,955935;-0,236669451;7,401889855
15,026;5,303;-3,815;2,453;-3,172;3,84;-2,561;6,764;-2,63;3,357;13,889;10,873;25,068;8,047;3,822;6,434;9,763;9,301;-3,89;7,964;-23,792;13,899;0,238;7,403
14,93974088;5,295316355;-4,062899792;2,488416345;-3,099601831;3,814488938;-1,359887843;6,855278505;-3,195241901;3,331402996;14,54880003;11,04068466;27,83578513;8,219042143;4,887913909;6,87639246;10,72144737;9,339958878;-5,993573061;7,830029188;-24,57220366;13,82088714;0,646017262;7,402758937
